id,text,author_id,public_metrics,created_at,in_reply_to_user_id,conversation_id,reply_settings,source,referenced_tweets,context_annotations,entities,user,user_name,city,state,county,country,cty_st,year,keywords_label,Ground Truth
1.4208E+18,"Saw this Nissan 300ZX parked next to a JCW Mini Cooper in Old Lyme, CT. via /r/carspotting https://t.co/3CNRZ6OiwM https://t.co/0QMnn5w89I",70995996,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-07-29T17:41:41.000Z,,1.4208E+18,everyone,IFTTT,,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781972125171060736', 'name': 'Auto'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597302226944', 'name': 'Transportation'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781972125179518977', 'name': 'Auto Manufacturer'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026363082', 'name': 'Nissan'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781972125171060736', 'name': 'Auto'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781972125179518977', 'name': 'Auto Manufacturer'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026363082', 'name': 'Nissan'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026511153', 'name': 'MINI'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10045512586', 'name': 'MINI USA'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10045564714', 'name': 'MINI - Cooper'}}]","{'urls': [{'start': 91, 'end': 114, 'url': 'https://t.co/3CNRZ6OiwM', 'expanded_url': 'https://ift.tt/3zM8wbe', 'display_url': 'ift.tt/3zM8wbe'}, {'start': 115, 'end': 138, 'url': 'https://t.co/0QMnn5w89I', 'expanded_url': 'https://twitter.com/HarrisLoeser/status/1420801718095433729/photo/1', 'display_url': 'pic.twitter.com/0QMnn5w89I'}], 'annotations': [{'start': 9, 'end': 20, 'probability': 0.7781, 'type': 'Product', 'normalized_text': 'Nissan 300ZX'}, {'start': 58, 'end': 65, 'probability': 0.8195, 'type': 'Place', 'normalized_text': 'Old Lyme'}]}","{'public_metrics': {'followers_count': 60, 'following_count': 38, 'tweet_count': 3913, 'listed_count': 8}, 'created_at': '2009-09-02T15:47:12.000Z', 'description': 'By Day: Sales & marketing in blue collar and tech. By Night: old cars seen on street.  All Day & Night:  Dad,  husband, fixit guy.', 'name': 'Harris Loeser', 'location': 'San Francisco', 'username': 'HarrisLoeser'}",HarrisLoeser,South San Francisco,California,San Mateo County,United States,"San Mateo County,California",2021,0,
2.61232E+17,Remember when all those East Lyme kids wanted to beat up Keith? LOL yeah nothing happened,395958544,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",2012-10-24T22:23:47.000Z,,2.61232E+17,everyone,Twitter for iPhone,,,"{'annotations': [{'start': 24, 'end': 32, 'probability': 0.4732, 'type': 'Organization', 'normalized_text': 'East Lyme'}, {'start': 57, 'end': 61, 'probability': 0.9897, 'type': 'Person', 'normalized_text': 'Keith'}]}","{'username': 'Ryguy_80', 'description': 'Occasional non-baseball tweet', 'location': 'Greater Chicago Area', 'public_metrics': {'followers_count': 386, 'following_count': 310, 'tweet_count': 39434, 'listed_count': 5}, 'name': 'Ryan', 'created_at': '2011-10-22T14:40:18.000Z'}",Ryguy_80,Chicago,Illinois,Cook County,United States,"Cook County,Illinois",2012,0,
4.26792E+17,@LouiseDean65 LOVE THE LATE STAGE LYME AND SARCASM!!!!,1452488569,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2014-01-24T19:02:56.000Z,755259512,4.26792E+17,everyone,Twitter Web Client,,,,"{'description': 'Husband, father, cartoonist, musician @ 12 years with Chronic Lyme disease - I so hate ticks, but denial more! Created a cartoon book about Lyme (link below)', 'public_metrics': {'followers_count': 3615, 'following_count': 2894, 'tweet_count': 10718, 'listed_count': 72}, 'username': 'Lymeloonies', 'name': 'David Skidmore', 'created_at': '2013-05-23T20:34:08.000Z', 'location': 'NYC'}",Lymeloonies,New York,New York,New York County,United States,"New York County,New York",2014,1,2
1.41603E+18,"ICYMI: The US tick population is on the rise and so is Lyme disease. Over 476,000 Americans are diagnosed every year.  There is no vaccine or treatment for long-term Lyme. Lawmakers want to focus federal funds on research.  https://t.co/LNe9G6ia2z",320627457,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2021-07-16T13:45:20.000Z,,1.41603E+18,everyone,Twitter Web App,,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]","{'annotations': [{'start': 11, 'end': 12, 'probability': 0.7424, 'type': 'Place', 'normalized_text': 'US'}], 'urls': [{'start': 224, 'end': 247, 'url': 'https://t.co/LNe9G6ia2z', 'expanded_url': 'https://www.rollcall.com/2021/07/14/lawmakers-push-for-lyme-disease-research-as-tick-population-climbs/', 'display_url': 'rollcall.com/2021/07/14/law…'}]}","{'username': 'ArielCohen37', 'name': 'Ariel Cohen', 'location': 'Washington, DC', 'public_metrics': {'followers_count': 3963, 'following_count': 1070, 'tweet_count': 1511, 'listed_count': 154}, 'description': ""Health care reporter @cqnow @rollcall. It's pronounced R-E-L. \nI write CQ Health Morning Update. Tips? ArielCohen@cqrollcall.com"", 'created_at': '2011-06-20T07:32:43.000Z'}",ArielCohen37,Washington,District of Columbia,District of Columbia,United States,"District of Columbia,District of Columbia",2021,1,1
4.75973E+17,"Lyme disease: Think protection, prevention this summer http://t.co/fWE8p9J76T",962738106,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2014-06-09T12:09:38.000Z,,4.75973E+17,everyone,Facebook,,,"{'urls': [{'start': 55, 'end': 77, 'url': 'http://t.co/fWE8p9J76T', 'expanded_url': 'http://fb.me/6BETuAvbF', 'display_url': 'fb.me/6BETuAvbF'}]}","{'created_at': '2012-11-21T17:10:07.000Z', 'location': 'Houston, Texas', 'username': 'TXLDA', 'name': 'Texas Lyme Disease', 'description': 'TXLDA collaborates with physicians, researchers, legislators, patients and families in an effort to educate and reduce Lyme disease transmission in Texas.', 'public_metrics': {'followers_count': 1079, 'following_count': 250, 'tweet_count': 7613, 'listed_count': 30}}",TXLDA,Houston,Texas,Harris County,United States,"Harris County,Texas",2014,1,1
3.0038E+17,C-Lyme-b Park http://t.co/XxE3PIyV,601147214,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2013-02-09T23:06:09.000Z,,3.0038E+17,everyone,WordPress.com,,,"{'urls': [{'start': 14, 'end': 34, 'url': 'http://t.co/XxE3PIyV', 'expanded_url': 'http://wp.me/p2JEgG-1m4', 'display_url': 'wp.me/p2JEgG-1m4'}]}","{'username': 'quirkymoi', 'name': 'Sarah Leatherbarrow', 'location': 'Stockport ', 'public_metrics': {'followers_count': 66, 'following_count': 165, 'tweet_count': 2104, 'listed_count': 3}, 'description': 'Loves cycle touring, walking, running and living a thrifty, healthy life http://t.co/a45Uz0yfFM', 'created_at': '2012-06-06T17:37:34.000Z'}",quirkymoi,Stockport,Iowa,Van Buren County,United States,"Van Buren County,Iowa",2013,0,
9.57702E+17,Don't miss your chance to enter to #win a $25 Amazon GC! #Giveaway Ends 2/5 #pugsandkisses2018 https://t.co/NdkYEtAl7b,62802393,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2018-01-28T19:48:29.000Z,,9.57702E+17,everyone,Giveaway Tools Confirmation,,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '783335558466506752', 'name': 'Online'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026792024', 'name': 'Amazon'}}]","{'annotations': [{'start': 46, 'end': 54, 'probability': 0.454, 'type': 'Product', 'normalized_text': 'Amazon GC'}], 'urls': [{'start': 95, 'end': 118, 'url': 'https://t.co/NdkYEtAl7b', 'expanded_url': 'http://www.practicalfrugality.com/lyme-disease-in-dogs/', 'display_url': 'practicalfrugality.com/lyme-disease-i…'}], 'hashtags': [{'start': 35, 'end': 39, 'tag': 'win'}, {'start': 57, 'end': 66, 'tag': 'Giveaway'}, {'start': 76, 'end': 94, 'tag': 'pugsandkisses2018'}]}","{'public_metrics': {'followers_count': 935, 'following_count': 2024, 'tweet_count': 77752, 'listed_count': 141}, 'username': 'foodhistorian', 'name': 'Cindy Merrill', 'location': 'pullman wa', 'created_at': '2009-08-04T12:21:30.000Z', 'description': 'Quiet Prepper,moved to Wisconsin with my husband. Ginger has crossed over the rainbow bridge, leaving Fred to comfort us.'}",foodhistorian,Pullman,Washington,Whitman County,United States,"Whitman County,Washington",2018,0,
7.43323E+16,"East Lyme earns 5th straight ECC girls lacrosse title: Almost eight months later, Hadcock's three-goal, five-ass... http://bit.ly/jyWqoJ",98691138,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2011-05-28T04:33:04.000Z,,7.43323E+16,everyone,twitterfeed,,,"{'annotations': [{'start': 0, 'end': 8, 'probability': 0.9094, 'type': 'Organization', 'normalized_text': 'East Lyme'}, {'start': 82, 'end': 88, 'probability': 0.3739, 'type': 'Organization', 'normalized_text': 'Hadcock'}]}","{'username': 'tammycoo', 'name': 'Tammy Cooper', 'location': 'Rochester, New York', 'public_metrics': {'followers_count': 637, 'following_count': 784, 'tweet_count': 20447, 'listed_count': 14}, 'description': 'I am a student and I hope to be a teacher. I Hope to find new friends here on twitter.', 'created_at': '2009-12-22T18:25:29.000Z'}",tammycoo,Rochester,New York,Monroe County,United States,"Monroe County,New York",2011,0,
7.24045E+17,"Fitch, East Lyme High School rank among 'Most Challenging' in nation https://t.co/MwBkRgMliE via @thedayct",1450171646,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-04-24T01:19:52.000Z,,7.24045E+17,everyone,Mobile Web,,,"{'annotations': [{'start': 0, 'end': 4, 'probability': 0.4064, 'type': 'Organization', 'normalized_text': 'Fitch'}, {'start': 7, 'end': 27, 'probability': 0.4946, 'type': 'Organization', 'normalized_text': 'East Lyme High School'}], 'mentions': [{'start': 97, 'end': 106, 'username': 'thedayct', 'id': '29271212'}], 'urls': [{'start': 69, 'end': 92, 'url': 'https://t.co/MwBkRgMliE', 'expanded_url': 'http://www.theday.com/article/20160422/NWS01/160429693', 'display_url': 'theday.com/article/201604…'}]}","{'name': 'Groton-Fitch Athletics', 'location': 'Groton, CT', 'description': 'Groton Public Schools Athletic Department Official Twitter Site.', 'username': 'GrotonFitch', 'public_metrics': {'followers_count': 1318, 'following_count': 565, 'tweet_count': 5405, 'listed_count': 7}, 'created_at': '2013-05-23T00:13:24.000Z'}",GrotonFitch,Groton,Connecticut,New London County,United States,"New London County,Connecticut",2016,0,
9.98655E+17,Spending time outdoors? Reduce your chances of exposure to #LymeDisease and other tick-related illnesses by following these tips each time you spend time outside ⬇️ https://t.co/Km9Zc31aTB,3218464527,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 5, 'quote_count': 1}",2018-05-21T20:00:01.000Z,,9.98655E+17,everyone,TweetDeck,,,"{'urls': [{'start': 165, 'end': 188, 'url': 'https://t.co/Km9Zc31aTB', 'expanded_url': 'https://twitter.com/PAHealthDept/status/998654669273448448/photo/1', 'display_url': 'pic.twitter.com/Km9Zc31aTB'}], 'hashtags': [{'start': 59, 'end': 71, 'tag': 'LymeDisease'}]}","{'location': 'Harrisburg, PA', 'created_at': '2015-04-28T19:38:36.000Z', 'public_metrics': {'followers_count': 95560, 'following_count': 959, 'tweet_count': 17971, 'listed_count': 598}, 'description': 'Official Twitter account for the Pennsylvania Department of Health. DOH is Pennsylvania’s primary source for public health information and services.', 'name': 'PA Department of Health', 'username': 'PAHealthDept'}",PAHealthDept,Harrisburg,Pennsylvania,Dauphin County,United States,"Dauphin County,Pennsylvania",2018,1,1
7.62747E+17,"https://t.co/rgScZCPyn0 For One Former Lyme Sufferer, The Proof Is In The Pudding - https://t.co/KxEoc1lyIL https://t.co/pTEBFruIRy",212710784,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-08-08T20:27:04.000Z,,7.62747E+17,everyone,Google,,,"{'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/rgScZCPyn0', 'expanded_url': 'http://bit.ly/eKASrg', 'display_url': 'bit.ly/eKASrg'}, {'start': 84, 'end': 107, 'url': 'https://t.co/KxEoc1lyIL', 'expanded_url': 'http://27east.com', 'display_url': '27east.com'}, {'start': 108, 'end': 131, 'url': 'https://t.co/pTEBFruIRy', 'expanded_url': 'http://goo.gl/fb/drJFUT', 'display_url': 'goo.gl/fb/drJFUT'}]}","{'description': '#SheSquatchers #BIGFOOT #Fargo #Psychic #Coach #TheJourneyOnRadio #Paranormal #RADIO #REIKI #Massage ❤ https://t.co/AaoCmgF43c ❤ https://t.co/Dr18vffJis ❤ #FOLLOWBACK', 'created_at': '2010-11-06T20:57:05.000Z', 'name': 'Fargo Psychic Coach', 'username': 'jenniferkruse', 'location': 'Fargo, ND', 'public_metrics': {'followers_count': 7362, 'following_count': 8501, 'tweet_count': 262032, 'listed_count': 170}}",jenniferkruse,Fargo,North Dakota,Cass County,United States,"Cass County,North Dakota",2016,0,
1.1552E+18,#See #today's #FunctionalMedicine #News! https://t.co/5GCHOq4I58 #doaday #doadaybook Thanks to @EnvitaMedical @serenebutterfly @healthparkmed #lyme #flipsenateblue,7.08247E+17,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2019-07-27T19:38:04.000Z,,1.1552E+18,everyone,Paper.li,,,"{'hashtags': [{'start': 0, 'end': 4, 'tag': 'See'}, {'start': 5, 'end': 11, 'tag': 'today'}, {'start': 14, 'end': 33, 'tag': 'FunctionalMedicine'}, {'start': 34, 'end': 39, 'tag': 'News'}, {'start': 65, 'end': 72, 'tag': 'doaday'}, {'start': 73, 'end': 84, 'tag': 'doadaybook'}, {'start': 142, 'end': 147, 'tag': 'lyme'}, {'start': 148, 'end': 163, 'tag': 'flipsenateblue'}], 'mentions': [{'start': 95, 'end': 109, 'username': 'EnvitaMedical', 'id': '208145608'}, {'start': 110, 'end': 126, 'username': 'serenebutterfly', 'id': '30446334'}, {'start': 127, 'end': 141, 'username': 'healthparkmed', 'id': '2734060085'}], 'urls': [{'start': 41, 'end': 64, 'url': 'https://t.co/5GCHOq4I58', 'expanded_url': 'https://paper.li/f-1486928056?edition_id=0c43a410-b0a6-11e9-88a5-0cc47a0d164b', 'display_url': 'paper.li/f-1486928056?e…'}]}","{'created_at': '2016-03-11T11:03:44.000Z', 'location': 'Boston', 'public_metrics': {'followers_count': 1255, 'following_count': 1024, 'tweet_count': 4431, 'listed_count': 26}, 'username': 'doadaybook', 'description': 'Best-selling, award-winning book on how to overcome adversity to have real, enduring success by @BryanFalchuk\nhttps://t.co/1S1hTxEGz8', 'name': 'Do a Day the Book'}",doadaybook,Boston,Massachusetts,Suffolk County,United States,"Suffolk County,Massachusetts",2019,1,2
