,full_name,id
67,"La Quinta, CA",012cf25774f836cd
68,"Bennington, VT",2d79789ff5369e2f
69,"Syracuse, NY",138181506c13418e
70,"Santa Cruz, CA",3c9e627dd6b55d9e
71,"Albuquerque, NM",813a485b26b8dae2
72,"Toms River, NJ",259d4fab72f5d95c
73,"Monroe, LA",e60ab9aacc0e96af
74,"Oregon, USA",df7fd3a3b9eff7ee
75,"Stuart, FL",010ebc674459153c
76,"Baltimore, MD",c0b8e8dc81930292
77,"Hartford, CT",61c225139f635563
78,"Fremont, CA",30344aecffe6a491
79,"Arkansas, USA",e8ad2641c1cb666c
80,"Bronx, NY",002e24c6736f069d
81,"Somerset, KY",0c610ec760ff6a57
82,"South Carolina, USA",6057f1e35bcc6c20
83,"Manchester, CT",f1d134c7fd204d74
84,"Florida, USA",4ec01c9dbc693497
85,"Pocasset, MA",579526df8dd6cf4b
86,"Fair Oaks, VA",00a6ce430727193c
87,"Bemus Point, NY",018093cc625553d0
88,"Fishkill, NY",00b4168b67ea75f8
89,"Washington, USA",bc3a38d3d5999b4b
90,"Providence, RI",7b93be1d864cedbb
91,"Vestal, NY",00e0af44191953c7
92,"Lansing, MI",91eb113282d003a1
93,"Mauldin, SC",efc250826c29bfea
94,"Paradise, NV",8fa6d7a33b83ef26
95,"Sugar Land, TX",7a41192a2879ee24
96,"Ellington, CT",01e5937c70b301eb
97,"Newburgh, NY",0047e81d7db6c89a
98,"Utica, NY",41f575b7eebcd4b7
99,"Vernon, CT",00a47702524be1d3
100,"New Britain, CT",f080a098cad5b04d
101,"Seven Springs, FL",009603bf707421c1
102,"Coatesville, PA",56346d67bcd19861
103,"Amityville, NY",b7291ca30f39ebf6
104,"Englewood, CO",7fdcecb477b5ddd7
105,"West Hartford, CT",485ebc6dbebdbf32
106,"San Diego, CA",a592bd6ceb1319f7
107,"Forest Hills, PA",610522c4744194ef
108,"Bangor, ME",bd73972b51647e05
109,"Torrance, CA",c1e1a49e92ce1ba0
110,"Lafayette, IN",df1b6e7143e9c8d4
111,"Alaska, USA",07179f4fe0500a32
112,"Portland, ME",34b5e468ea4e8110
113,"Kensington, CT",62a6a4ee7fa09a72
114,"San Francisco, CA",5a110d312052166f
115,"Northborough, MA",5c56ca6e2b62216a
116,"Belton, MO",7235125f54ba7b87
117,"Virginia Beach, VA",84229b03659050aa
118,"Natchitoches, LA",28ee5ea3adb6eddd
119,"Guilford, CT",0136444405eb084a
120,"Boynton Beach, FL",005e3661711a29a9
121,"Bridgeport, CT",7714f2c70ed66321
122,"Fairfield, CT",01205ca7701fe20e
123,"Dartmouth, MA",0129988545d052bc
124,"Nashua, NH",db6cee8d55fe4a29
125,"Clinton, CT",00ec30114696324c
126,"Manitowoc, WI",01b1e7677560ac06
127,"Arizona, USA",a612c69b44b2e5da
128,"Comstock Park, MI",bf89ea14b197cfe6
129,"Grand Rapids, MI",a81f9ed24c15d6af
130,"Colesville, MD",09d38e8e348e39ba
131,"Chicago, IL",1d9a5370a355ab0c
132,"Santa Ana, CA",0562e9e53cddf6ec
133,"Swampscott, MA",609518f5a0992392
134,"White Bear Lake, MN",4afbe81ac7ebf3ea
135,"Greenbelt, MD",30f7f566cd810031
136,"New Haven, CT",795003fb11ee9829
137,"Montville, CT",006074a34e8c361f
138,Lynnewood Gardens,0fc3a8eab6146000
139,"Milford, NH",c5d9f6b9e841e5a8
140,"Boston, MA",67b98f17fdcf20be
141,"Wauregan, CT",004968f036f1ed8c
142,"McAllen, TX",6d032cd232fb02d5
143,"Austin, TX",c3f37afa9efcf94b
144,"Vermont, USA",9aa25269f04766ab
145,"Nevada, USA",d374fb61a20fb74f
146,"Town and Country, MO",88a1b7a750eeaa8d
147,"Tucson, AZ",013379ee5729a5e6
148,"Eugene, OR",01241e9666cacdd2
149,Gillette Castle State Park,07d9e8f1d5885000
150,"San Antonio, TX",3df4f427b5a60fea
151,"Bismarck, ND",3cd12646c811c87e
152,"Ewing, NJ",dd5e0979537f80a0
153,"North Haven, CT",dc482d90e88b4cc7
154,"Coventry, RI",008d3fb17b92f969
155,"South Lockport, NY",266935375fdaa20d
156,"Norwich, CT",ca059e12283afa1e
157,"Rosamond, CA",6c6677c9b39c3c6d
158,"Michigan, USA",67d92742f1ebf307
159,"Oriskany, NY",0065d24f6d51659d
160,"Tolland, CT",016a1b8069f09434
161,"Urbana, MD",014878ed15d8a5c3
162,"Deep River, CT",0a3bbdd89f813953
163,Flanders Fire Department,07d9d3bddfc84007
164,"Arvada, CO",c02e66a5016d732f
165,"Georgia, USA",7142eb97ae21e839
166,"Tampa, FL",dc62519fda13b4ec
167,"Gunbarrel, CO",23016fb5892d66ca
168,"Clearfield, UT",d254694c82a4473e
169,"Wisconsin, USA",7dc5c6d3bfb10ccc
170,"Quogue, NY",00743dcc482dde75
171,"South Ogden, UT",3149bbc966846740
172,"South Dakota, USA",d06e595eb3733f42
173,"Middleborough Center, MA",00d8beb558f3e0da
174,"Torrington, CT",01d25a2412697203
175,"Nashville, TN",00ab941b685334e3
176,"Macon, GA",11a2c1d62d4084d1
177,"Holtville, CA",013a895333a781d0
178,Bleckley County High School,07d9defd88487000
179,"Overland, MO",1316eee69a639480
180,"Peabody, MA",facb653464828079
181,"Maryland, USA",dea1eac2d7ef8878
182,"Dallas, TX",18810aa5b43e76c7
183,"Columbus, OH",3df0e3eb1e91170b
184,"Monticello, IN",a40a1644903c2943
185,"Scarsdale, NY",8a9c191d2cf2e895
186,"Reserve Township, PA",00a88078f7d0320b
187,"West Haven, CT",c783883e2edd7454
188,"Cleveland, OH",0eb9676d24b211f1
189,"Westport, CT",223bb92875fd221a
190,"Old Saybrook Center, CT",ca192b5dd3c2aa7d
191,"Miami, FL",04cb31bae3b3af93
192,"Denver, CO",b49b3053b5c25bf5
0,"Alaska, USA",07179f4fe0500a32
1,"New York, USA",94965b2c45386f87
2,"New London, CT",6e9c054da607b539
3,"Connecticut, USA",e86b380cfefcced5
4,"Washington, DC",01fbe706f872cb32
5,"Newark, NJ",fa3435044b52ecc7
6,"Charleston, WV",71f2805dd75bc147
7,"Queens, NY",00c39537733fa112
8,"Niantic, CT",6b24fd2834eaa53c
9,"Mountain Brook, AL",0eb846ebb5e78843
10,"Everett, WA",76e74b864547959b
11,"Birmingham, AL",92220986b9dfd67d
12,"Destin, FL",18a461be4c0c2033
13,"Monticello, IN",a40a1644903c2943
14,"Texas, USA",e0060cda70f5f341
15,Dunkin',0fc3343aea541000
16,"Austin, TX",c3f37afa9efcf94b
17,"Greenwich, CT",005bdbe763d96c1d
18,"Huntington, NY",263ef7a73ddddb11
19,"Massachusetts, USA",cd450c94084cbf9b
20,"Chicago, IL",1d9a5370a355ab0c
21,"Los Angeles, CA",3b77caf94bfc81fe
22,"Kentucky, USA",6ffcf3b0b904bbcb
23,"Menlo Park, CA",490bdb082950484f
24,"Irvine, CA",3d533362cdab8107
25,"Detroit, MI",b463d3bd6064861b
26,Hershey Lodge and Convention Center,07d9db8b7fc85001
27,"Hershey, PA",8647282dba1cee1e
28,"Armonk, NY",b20311bd578ddca3
29,"Virginia, USA",5635c19c2b5078d1
30,"Millville, NJ",01629d4c3339d743
31,"Agawam, MA",1853a23eb7615e2d
32,"Lake Monticello, VA",7e0ea54869e67f64
33,"Maybrook, NY",7164fac70e02799c
34,"Missouri, USA",2526edd24c06e60c
35,"Illinois, USA",f54a2170ff4b15f7
36,"New Haven, CT",795003fb11ee9829
37,"Bellevue, OH",756d43f842b4e8fe
38,"Satellite Beach, FL",530c7d91d01f97da
39,"Manhattan, NY",01a9a39529b27f36
40,"Maryland, USA",dea1eac2d7ef8878
41,Florence Griswold Museum,07d9e51e29c88000
42,"Baxter, MN",00f0bcb04c0518a1
43,"The Woodlands, TX",5280739904d0ef48
44,"Stony Brook, NY",8241555e75571517
45,"Norwalk, CT",1cfa9ac27a1e93bd
46,"Stamford, CT",468bfe7c705fbc37
47,"Terrace Heights, WA",45692c50065f2801
48,"Durham, NC",bced47a0c99c71d0
49,"Michigan, USA",67d92742f1ebf307
50,"Cleveland, TN",6ad5fc2baffd0f57
51,"Coppell, TX",8b14cd99b986ef15
52,"Pennsylvania, USA",dd9c503d6c35364b
53,"Deep River, CT",0a3bbdd89f813953
54,"New Hampshire, USA",226b21641df42460
55,"Maine, USA",463f5d9615d7d1be
56,"Stratford, CT",9133850ec8827e0a
57,"North Carolina, USA",3b98b02fba3f9753
58,"Bangor, ME",bd73972b51647e05
59,"Duxbury, MA",0190045b52aa925e
60,"Ann Arbor, MI",92b2158a6d509767
61,"Irving, TX",dce44ec49eb788f5
62,"Phoenix, AZ",5c62ffb0f0f3479d
63,"Princeton Junction, NJ",0036350a1b2393c3
64,"Edgewood, MD",aafff06b8736467f
65,"Westport, CT",223bb92875fd221a
66,"Georgia, USA",7142eb97ae21e839
67,"Milford, NH",c5d9f6b9e841e5a8
68,"Arkansas, USA",e8ad2641c1cb666c
69,"Amherst, NY",7dabbf75534f6cee
70,"Rhinelander, WI",4000683a5b1e2838
71,"Suisun City, CA",629b15360c8e51ae
72,"Mundelein, IL",c72b4751b1fce384
73,"Philadelphia, PA",e4a0d228eb6be76b
74,"Orange, CA",20ba6fb3b1ee82da
75,"Washington, USA",bc3a38d3d5999b4b
76,"Staten Island, NY",00c55f041e27dc51
77,"Holliston, MA",00b3cd1a7a98431c
78,"Florida, USA",4ec01c9dbc693497
79,"Annandale, VA",4dad272dba156a02
80,"North Miami Beach, FL",045badf8fedd9c63
81,"Brooklyn, NY",011add077f4d2da3
82,"Vestal, NY",00e0af44191953c7
83,"Murrieta, CA",c4095a8d389bd271
84,"Urbana, MD",014878ed15d8a5c3
85,"La Vista, NE",002f085a0f91800d
86,"Binghamton, NY",859b7f1502db8fe9
87,"San Antonio, TX",3df4f427b5a60fea
88,"Acton, MA",00c1472003e02a87
89,"Metairie, LA",743df94d8dcb69a6
90,"Tennessee, USA",7f7d58e5229c6b6c
91,"Utica, NY",41f575b7eebcd4b7
92,"Dumbarton, VA",37ae87b795e8b5a1
93,"Riverside, CT",01ca6b325930d4fb
94,"Alexandria, VA",d6819fe60643ebc1
95,"Ashland, OR",387221f842ada634
96,"San Jose, CA",7d62cffe6f98f349
97,"Indian Trail, NC",69ae3b3b99c42508
98,"Greensburg, PA",2d2cc38bfa01da4a
99,"Blackwood, NJ",0036534d6f287a14
100,"Quincy, MA",7948fec74f58e8cd
101,"Guilford, CT",0136444405eb084a
102,"Saginaw Township South, MI",0e26d5c859741e60
103,"Richardson, TX",bc7f3267d2efaf40
104,"West Elmira, NY",317ae80d8be497b0
105,"North Tustin, CA",002c095d059ebf44
106,"Jackson, MO",4fcb37410610fb9f
107,"Fredericksburg, VA",4ee7712e521a7387
108,"Branford, CT",01e2c8c75b1868ca
109,"Darien, CT",f0a09bb21aa36e92
110,"Old Saybrook Center, CT",ca192b5dd3c2aa7d
111,"Savage, MD",013e2fa93b1bd0be
112,"Montrose, CO",b0bf852909173f4f
113,"Costa Mesa, CA",2f97b9acb13ca665
114,"South Portland, ME",2438e517cb050ced
115,"Mastic, NY",ffaba230a4e0ec74
116,"Boston, MA",67b98f17fdcf20be
117,"Cleveland, OH",0eb9676d24b211f1
118,"Mentor, OH",a47c7932f8997705
119,"Pocasset, MA",579526df8dd6cf4b
120,East Rock Brewing Company,0ea3447e28d4d001
121,"Chandler, AZ",52445186970bafb3
122,"South Charleston, WV",b8018050c8b66e62
123,"Portland, ME",34b5e468ea4e8110
124,"Eastchester, NY",18723789f00c54fe
125,"Mississippi, USA",43d2418301bf1a49
126,"Simi Valley, CA",c84cc6061e2af8da
127,"Gardner, KS",00f1f5014dc531da
128,"Mesa, AZ",44d207663001f00b
129,"New Britain, CT",f080a098cad5b04d
130,"San Francisco, CA",5a110d312052166f
131,"Watertown, CT",0143dc9e38d9028d
132,Scalzi Park,07d9ecaddc481000
133,"Middleborough Center, MA",00d8beb558f3e0da
134,"New Orleans, LA",dd3b100831dd1763
135,"Groton, CT",280ad9d1d1fe1d71
136,"Fresno, CA",944c03c1d85ef480
137,"Wausau, WI",35ecddb970148417
138,"Ceiba Norte, Puerto Rico",d820f4b738a5300c
139,"St Louis, MO",0570f015c264cbd9
140,"Seattle, WA",300bcc6e23a88361
141,"Commack, NY",298bb08a9d7e64d4
142,"Oregon, USA",df7fd3a3b9eff7ee
143,"Oakland, CA",ab2f2fac83aa388d
144,"Ithaca, NY",ae76bffcaf2bf545
145,"Oneida, NY",deeb1ed3497c7dfd
146,"Lorain, OH",91d57ea9ae3b0bbd
147,"Fate, TX",015f441c1bd0a858
148,"McKinney, TX",7eeed20da9c42064
149,"Lakewood, NJ",a10f50910f169b2f
150,"West Epping, NH",00a7a08169cb3ffa
151,"Syracuse, NY",138181506c13418e
152,"Germantown, MD",0b8f86488a6ebab7
153,"Orion, MI",004dc6760f57aa3c
154,"Sioux Falls, SD",3605db70c687a01d
155,"Willoughby, OH",88dfdf4f649a0ba2
156,"Pleasanton, CA",ad4876a662119b74
157,"Brimfield, OH",0013a43a2dbb365f
158,"Hallandale Beach, FL",253e07b9636d0061
159,"New Hempstead, NY",9ab79aad4d1f2dea
160,"Johnson City, TN",4185eba3c7183f0b
161,"Twin Falls, ID",21fafa3ac3a26744
162,"Concordia, NJ",9371fada1eb82e7a
163,"Arden-Arcade, CA",b90f2a335f8565c0
164,"Allen, TX",22d928cbeab790ad
165,"Greensboro, NC",a6c257c61f294ec1
166,"New Braunfels, TX",c807df9bb77ea0b3
167,"Fairmont, WV",0006c18b448ad428
168,"Orlando, FL",55b4f9e5c516e0b6
169,"Chappaqua, NY",009992f3220547c9
170,"The Village, OK",4c7d3c109c481e6a
171,"Jefferson, OH",01e49ff51e2a9d59
172,"Providence, RI",7b93be1d864cedbb
173,"Miami, FL",04cb31bae3b3af93
174,"Matawan, NJ",a7cdc3f10586dc66
175,"Shorewood Hills, WI",078d435993ff02ed
176,"Juneau, AK",00ebeb4332dd7c50
177,"Towson, MD",ac31053cb03c56b2
178,"Fort Collins, CO",b2e4e65d7b80d2c1
179,"Easton, MA",009abfd544f2578d
180,"Columbus, OH",3df0e3eb1e91170b
181,"Highlands, NJ",ad87de7d13d41fa3
182,"Greece, NY",00d1c94455339375
183,"Rutland, VT",4e6257bfcdf04353
184,"Tustin, CA",02215ae29a77567c
185,"Shirley, NY",7d5f383dc2e0241d
186,"Pass Christian, MS",06e9911667152ffa
187,"South Euclid, OH",19cdbb0c29dbc3a5
188,"West Newbury, MA",013c72116eedd711
189,"Alexandria, LA",c09ab6ee5a6f7b31
190,"Colonie, NY",019e50e817947f2d
191,"Queenstown, MD",1306c244fec0d440
192,"Minnesota, USA",9807c5c5f7a2c6ce
193,"Bridgeport, CT",7714f2c70ed66321
194,Simon Hall,07d9d3280c880002
195,"Worcester, MA",28db2dbc4240f0b2
196,"Norwich, CT",ca059e12283afa1e
197,"West Linn, OR",2ea8f95d7d008ab5
198,"Cedar Hill, TX",4233ec320eb73634
0,"Greensburg, PA",2d2cc38bfa01da4a
1,J. Paul's Terrace Café,07d9ed0fb2c86001
2,"Providence, RI",7b93be1d864cedbb
3,"New Hampshire, USA",226b21641df42460
4,"Agawam, MA",1853a23eb7615e2d
5,"Wisconsin, USA",7dc5c6d3bfb10ccc
6,"Virginia, USA",5635c19c2b5078d1
7,"Plainville, CT",000c7ae04f0a875b
8,"New York, USA",94965b2c45386f87
9,"Larkspur, CA",5abe94c7f05eb014
10,"Washington, DC",01fbe706f872cb32
11,"Waterford, CT",01a04a3016dfccf7
12,"Franklin, NJ",40bbc662bdb14422
13,"North Carolina, USA",3b98b02fba3f9753
14,"Tennessee, USA",7f7d58e5229c6b6c
15,"Sterling Heights, MI",23e0af972b9a2e8e
16,"New London, CT",6e9c054da607b539
17,"Masonboro, NC",970688030baa32b2
18,"Essex, CT",01dcfbf3552f3afb
19,"Philadelphia, PA",e4a0d228eb6be76b
20,"Connecticut, USA",e86b380cfefcced5
21,"Prairie Village, KS",2ef8ff6c7405a35f
22,"Niantic, CT",6b24fd2834eaa53c
23,"Durham, NC",bced47a0c99c71d0
24,"Ocean City, NJ",a35e5b5706654c8c
25,"Alaska, USA",07179f4fe0500a32
26,"Chicago, IL",1d9a5370a355ab0c
27,"Old Saybrook Center, CT",ca192b5dd3c2aa7d
28,"Rio Rancho, NM",0046bfef79c8e224
29,Cracker Barrel Old Country Store,131ae76105d45000
30,"Oklahoma, USA",bd3d2074a33fbd06
31,"Noblesville, IN",013e3bc05a18abdc
32,"Rhode Island, USA",6d50765616ee2e60
33,"South Portland, ME",2438e517cb050ced
34,"Gloucester, MA",2907085062d6147c
35,"Los Angeles, CA",3b77caf94bfc81fe
36,"Westminster, CO",3f871475c095f94f
37,"Boston, MA",67b98f17fdcf20be
38,"Jacksonville Beach, FL",5e281c17a74c170f
39,"Manhattan, NY",01a9a39529b27f36
40,"Oak Island, NC",013f87a547f1b307
41,"Beaufort, SC",c98d1e86cd9094a7
42,"Brooklyn, NY",011add077f4d2da3
43,"Kentucky, USA",6ffcf3b0b904bbcb
44,"Orlando, FL",55b4f9e5c516e0b6
45,"Aiken, SC",2fe596253ff13bb5
46,"Birmingham, AL",92220986b9dfd67d
47,"Arizona, USA",a612c69b44b2e5da
48,"Brooklyn Park, MN",1b86771ff62f45fb
49,"Concord, MO",01234fef0796f56a
50,"Miramar Beach, FL",0116455e07723b77
51,"Buffalo Run, PA",01ed66e14f54f072
52,"Bellingham, WA",83615874f73de6c7
53,"Michigan, USA",67d92742f1ebf307
54,"North Tustin, CA",002c095d059ebf44
55,"Maine, USA",463f5d9615d7d1be
56,"California, USA",fbd6d2f5a4e4a15e
57,"Eureka, CA",c201deec6d7ba944
58,"Pennsylvania, USA",dd9c503d6c35364b
59,"Menomonie, WI",66f4d56878d66d29
60,"Webster, TX",35e409cdfaf2527a
61,"Richmond, VA",00f751614d8ce37b
62,"East Fishkill, NY",01fc705709b34e31
63,"Hammond, LA",9c628d39e924afc1
64,"Syracuse, NY",138181506c13418e
65,"Ohio, USA",de599025180e2ee7
66,"Lakewood, CO",f7eb2fa2fea288b1
67,"Portola Valley, CA",025f62e9f9508d72
68,"Queens, NY",00c39537733fa112
69,"Stony Brook, NY",8241555e75571517
70,"Billings, MT",662aa8db4557a744
71,"San Diego, CA",a592bd6ceb1319f7
72,"Washington, USA",bc3a38d3d5999b4b
73,"Texas, USA",e0060cda70f5f341
74,"Cedar Rapids, IA",e06ed4324b139bf2
75,"Orchards, WA",1d471644ea7c10d2
76,"Wauregan, CT",004968f036f1ed8c
77,"Ridgewood, NJ",38718ccc91e76508
78,"New Orleans, LA",dd3b100831dd1763
79,"Las Vegas, NV",5c2b5e46ab891f07
80,"Baltimore, MD",c0b8e8dc81930292
81,"Utica, NY",41f575b7eebcd4b7
82,"Glens Falls, NY",011edd780200b886
83,"Austin, TX",c3f37afa9efcf94b
84,"Louisville, KY",095534ad3107e0e6
85,East Lyme High School,07d9e47584484000
86,"Illinois, USA",f54a2170ff4b15f7
87,"Worcester, MA",28db2dbc4240f0b2
88,"Bermuda Dunes, CA",4067289b6de7e711
89,"Compton, CA",f2b1ac6c9d15503f
90,"Fort Worth, TX",42e46bc3663a4b5f
91,"South Windsor, CT",00a3967f0941f082
92,"Iowa, USA",3cd4c18d3615bbc9
93,"St Paul, MN",60e2c37980197297
94,"Portland, ME",34b5e468ea4e8110
95,"Santa Ana, CA",0562e9e53cddf6ec
96,"Los Osos, CA",011b3d245e51de7a
97,"Montauk, NY",01528dec631201d0
98,"Middlebury, VT",008682f573f40c0a
99,"Carrollwood, FL",5bf268a34de4d516
100,"Rotterdam, NY",0a90ed1a849b5315
101,"Maryland, USA",dea1eac2d7ef8878
102,"Nashua, NH",db6cee8d55fe4a29
103,"Norwich, CT",ca059e12283afa1e
104,The Tennis Center,07d9e3f21fc80000
105,"Federalsburg, MD",f499a4ee6fb0c944
106,"Skyline View, PA",3686de29e850c30a
107,"Radford, VA",a265d5d344dbd61d
108,"Columbus, OH",3df0e3eb1e91170b
109,"Stapleton, Denver",389b6bffced8dd19
110,"Mission, San Francisco",597463acf7f062a9
111,"Frederick, MD",ec3b8b62828d8f6a
112,Florence Griswold Museum,07d9e51e29c88000
113,"La Quinta, CA",012cf25774f836cd
114,"Highlands, NJ",ad87de7d13d41fa3
115,"Coatesville, PA",56346d67bcd19861
116,"Twin Falls, ID",21fafa3ac3a26744
117,"Shepherdsville, KY",df1c1006357a743f
118,"Richardson, TX",bc7f3267d2efaf40
119,"Boca Raton, FL",d1cd39353c51904d
120,"Highview, KY",db928fb47a6c40ca
121,"Montpelier, VT",495a55057ac886b9
122,Shadow Creek Golf Course,07d9d28426887000
123,"Branford, CT",01e2c8c75b1868ca
124,"Greenwich, CT",005bdbe763d96c1d
125,"Stocks, GA",01fe9f0f40a584ca
126,North Branford High School,07d9ed042ec84000
127,Waterford High School,07d9d2f146c82002
128,"Webster Groves, MO",90c32e0ec569d261
129,"Danielson, CT",0182e60178050b18
130,"Riverside, CT",01ca6b325930d4fb
131,"Saybrook Manor, CT",01fc71655bd6bb80
132,"St Louis, MO",0570f015c264cbd9
133,"Vista Center, NJ",003e69bf5eff2276
134,"Tustin, CA",02215ae29a77567c
135,"Costa Mesa, CA",2f97b9acb13ca665
136,"Five Points, OH",92ece453327a4d54
137,"Minnetonka, MN",555209e7a34626a2
138,"Barberton, OH",6d88dcc1dd35318b
139,"Lincoln, RI",00f7e472703b154d
140,"Omaha, NE",a84b808ce3f11719
141,"Massachusetts, USA",cd450c94084cbf9b
142,"Tucson, AZ",013379ee5729a5e6
143,"Mint Hill, NC",04e683accecac89d
144,"Vermont, USA",9aa25269f04766ab
145,"Altadena, CA",fb76b3aa366004c9
146,"South Carolina, USA",6057f1e35bcc6c20
147,"Wyndham, VA",f78d4624824e87d8
148,"Salt Lake City, UT",bd7c511e9f8bc5da
149,"Melbourne, FL",d970e7fd69eaf4ec
150,"San Antonio, TX",3df4f427b5a60fea
151,"Arbutus, MD",332025cb8fc55ee8
152,"Carolina Beach, NC",e1f15aa2729c51aa
153,"Minneapolis, MN",8e9665cec9370f0f
154,Mingo Creek County Park,07d9e44d53487000
155,Family Fare Supermarket,11c08eebb654d000
156,"Urbana, IL",497789c72fadba82
157,"Colorado, USA",e21c8e4914eef2b3
158,"Salinas, CA",fa37e818b629e4ea
159,"Roanoke, TX",001a980b0bf26339
160,"Centereach, NY",faf8aaecf6a390c0
161,"Castlewood, CO",ccc924a14c815259
162,WVIA Public Media,07d9ed1a55488002
163,"Arkansas, USA",e8ad2641c1cb666c
164,"Minnesota, USA",9807c5c5f7a2c6ce
165,"Irvine, CA",3d533362cdab8107
166,"Tampa, FL",dc62519fda13b4ec
167,"Poquott, NY",fc9cc42f060cc4b3
168,"Jeannette, PA",9a8a0ee0f967a46e
169,"Elk Grove Village, IL",227d358f6ed8d29e
170,"Whiteman Air Force Base, MO",00e4d82770a51eb9
171,"Houston, TX",1c69a67ad480e1b1
172,"Canton, MA",01ed0b8e28d505ae
173,"Reminderville, OH",8f0065cb6d9e8af9
174,"West Hollywood, CA",1927193c57f35d51
175,"Wichita, KS",1661ada9b2b18024
176,"Maplewood, NJ",c8cc2f5f5fe306fa
177,"Hamburg, NY",0032b71e19053652
178,"Towson, MD",ac31053cb03c56b2
179,"Acton, MA",00c1472003e02a87
180,"Clinton, CT",00ec30114696324c
181,"Camano, WA",6faa41a45d042c7d
182,"Uniondale, NY",6ea95c38a0f6ebfe
183,"Biddeford, ME",004d59e752d3bf33
184,"Silver Firs, WA",003314b86e295845
185,"Donohoe, PA",011b8dec278cedcb
186,"Lakeland, MI",0039ec6801d2ae71
187,"Louisiana, USA",1c73ebb264e145ee
188,"Indiana, USA",1010ecfa7d3a40f8
189,"Cranford, NJ",de7b13455f6b23f3
190,"Detroit, MI",b463d3bd6064861b
191,"Manchaca, TX",01ec9e2d57113d2f
192,"Nashville, TN",00ab941b685334e3
193,Huntington Beach Pier,07d9e3b605488001
194,"Rosamond, CA",6c6677c9b39c3c6d
0,"Maine, USA",463f5d9615d7d1be
1,Bacon Academy,07d9dbb1ccc80002
2,"New Paltz, NY",01b86269009c037a
3,"Imperial, MO",01e9c4ca710a63f5
4,"Texas, USA",e0060cda70f5f341
5,"San Diego, CA",a592bd6ceb1319f7
6,"Niantic, CT",6b24fd2834eaa53c
7,"Brooklyn, NY",011add077f4d2da3
8,"Connecticut, USA",e86b380cfefcced5
9,"Nashua, NH",db6cee8d55fe4a29
10,"Washington, DC",01fbe706f872cb32
11,"La Quinta, CA",012cf25774f836cd
12,"West Jordan, UT",cb224c3c6c1ee882
13,"Matawan, NJ",a7cdc3f10586dc66
